block,ppsUSDC,ppsmkUSD,ppsUSDT,ppsFRAX
18950100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18951300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18952500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18953700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18954900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18956100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18957300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18958500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18959700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18960900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18962100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18963300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18964500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18965700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18966900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18968100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18969300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18970500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18971700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18972900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18974100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18975300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18976500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18977700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18978900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18980100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18981300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18982500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18983700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18984900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18986100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18987300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18988500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18989700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18990900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18992100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18993300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18994500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18995700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18996900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18998100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
18999300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19000500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19001700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19002900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19004100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19005300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19006500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19007700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19008900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19010100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19011300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19012500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19013700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19014900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19016100,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19017300,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19018500,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19019700,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19020900,1.04E+18,1.00E+18,1.08E+18,1.04E+18
19022100,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19023300,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19024500,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19025700,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19026900,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19028100,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19029300,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19030500,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19031700,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19032900,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19034100,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19035300,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19036500,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19037700,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19038900,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19040100,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19041300,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19042500,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19043700,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19044900,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19046100,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19047300,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19048500,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19049700,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19050900,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19052100,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19053300,1.04E+18,1.00E+18,1.08E+18,1.05E+18
19054500,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19055700,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19056900,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19058100,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19059300,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19060500,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19061700,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19062900,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19064100,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19065300,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19066500,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19067700,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19068900,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19070100,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19071300,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19072500,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19073700,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19074900,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19076100,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19077300,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19078500,1.04E+18,1.00E+18,1.09E+18,1.05E+18
19079700,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19080900,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19082100,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19083300,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19084500,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19085700,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19086900,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19088100,1.04E+18,1.00E+18,1.10E+18,1.05E+18
